Jurisdiction,Allocation 2022-06-29 To 2022-07-08,Allocation 2022-07-08 To 2022-07-15,Allocation 2022-07-16 To 2022-07-29,Allocation 2022-07-29 To Onwards,Total Allocation,"Total Requested as of Aug 10 2022, 12pm","Total Shipped as of Aug 10 2022, 12pm",Last Updated
All Jurisdictions,56001,146217,131002,736639,1069859,634213,634213,2022-08-11 21:39
Alabama,0,768,515,4640,5923,1283,1283,2022-08-11 21:39
Alaska,0,82,38,480,600,340,340,2022-08-11 21:39
American Samoa,0,0,0,20,20,20,20,2022-08-11 21:39
Arizona,339,1652,1504,10820,14315,7933,7933,2022-08-11 21:39
Arkansas,0,478,246,2300,3024,1760,1760,2022-08-11 21:39
California,9556,14774,10299,72520,107149,66309,66309,2022-08-11 21:39
California - Los Angeles,6346,9812,6824,48120,71102,43222,43222,2022-08-11 21:39
Colorado,2008,2175,1682,12660,18525,11285,11285,2022-08-11 21:39
Connecticut,0,635,1143,4520,6298,3628,3628,2022-08-11 21:39
Delaware,0,227,186,1440,1853,995,995,2022-08-11 21:39
District of Columbia,1206,7142,4907,20020,33275,21755,21755,2022-08-11 21:39
Florida,10816,14859,10709,72900,109284,65960,65960,2022-08-11 21:39
Georgia,1284,4695,7897,34120,47996,27542,27542,2022-08-11 21:39
Guam,0,0,4,60,64,60,60,2022-08-11 21:39
Hawaii,357,955,273,2660,4245,2872,2872,2022-08-11 21:39
Idaho,0,326,94,1380,1800,1000,1000,2022-08-11 21:39
Illinois,1291,3604,2497,13120,20512,12718,12718,2022-08-11 21:39
Illinois - Chicago,3269,9125,6315,33160,51869,34109,34109,2022-08-11 21:39
Indiana,473,1710,1002,8800,11985,6752,6752,2022-08-11 21:39
Iowa,0,370,279,1920,2569,1441,1441,2022-08-11 21:39
Kansas,0,283,211,1700,2194,1176,1176,2022-08-11 21:39
Kentucky,296,935,399,4680,6310,3580,3580,2022-08-11 21:39
Louisiana,0,1049,973,7200,9222,4962,4962,2022-08-11 21:39
Maine,0,186,85,1100,1371,751,751,2022-08-11 21:39
Mariana Islands,0,0,1,39,40,40,40,2022-08-11 21:39
Maryland,682,2681,3042,15400,21805,12679,12679,2022-08-11 21:39
Massachusetts,2004,4803,2424,17040,26271,16251,16251,2022-08-11 21:39
Michigan,0,1786,1612,10460,13858,7618,7618,2022-08-11 21:39
Minnesota,0,1968,790,7600,10358,6038,6038,2022-08-11 21:39
Mississippi,0,406,185,2320,2911,1541,1541,2022-08-11 21:39
Missouri,449,1415,563,6940,9367,5213,5213,2022-08-11 21:39
Montana,0,103,47,600,750,398,398,2022-08-11 21:39
Nebraska,0,263,148,1240,1651,921,921,2022-08-11 21:39
Nevada,171,1251,517,5360,7299,4122,4122,2022-08-11 21:39
New Hampshire,0,262,65,1140,1467,787,787,2022-08-11 21:39
New Jersey,347,2406,2696,14520,19969,11329,11329,2022-08-11 21:39
New Mexico,0,373,583,2600,3556,1996,1996,2022-08-11 21:39
New York,2206,5398,8822,29600,46026,28295,28295,2022-08-11 21:39
New York - New York City,5989,14652,23963,80040,124644,77804,77804,2022-08-11 21:39
North Carolina,444,2365,1739,13840,18388,10148,10148,2022-08-11 21:39
North Dakota,0,65,30,420,515,275,275,2022-08-11 21:39
Ohio,470,2482,1297,13560,17809,9693,9693,2022-08-11 21:39
Oklahoma,252,831,352,4120,5555,736,736,2022-08-11 21:39
Oregon,209,1303,1916,8480,11908,6838,6838,2022-08-11 21:39
Pennsylvania,450,2717,2052,12620,17839,10311,10311,2022-08-11 21:39
Pennsylvania - Philadelphia,0,1350,1020,6020,8390,4790,4790,2022-08-11 21:39
Puerto Rico,0,710,517,3840,5067,2807,2807,2022-08-11 21:39
Rhode Island,298,318,338,2220,3174,1874,1874,2022-08-11 21:39
South Carolina,0,813,700,5220,6733,3647,3647,2022-08-11 21:39
South Dakota,0,47,104,360,511,291,291,2022-08-11 21:39
Tennessee,0,1295,1085,8360,10740,5762,5762,2022-08-11 21:39
Texas,3084,6995,5361,41840,57280,32356,32356,2022-08-11 21:39
Texas - Houston,0,3008,2316,16780,22104,12064,12064,2022-08-11 21:39
Tribal entities,0,0,13,160,173,0,0,2022-08-11 21:39
U.S. Virgin Islands,0,0,8,100,108,160,160,2022-08-11 21:39
Utah,523,947,819,4080,6369,3949,3949,2022-08-11 21:39
Vermont,0,59,27,340,426,226,226,2022-08-11 21:39
Virginia,386,3539,3188,15540,22653,13459,13459,2022-08-11 21:39
Washington,796,2710,3660,17280,24446,13810,13810,2022-08-11 21:39
West Virginia,0,237,190,1480,1907,1057,1057,2022-08-11 21:39
Wisconsin,0,775,711,4500,5986,3314,3314,2022-08-11 21:39
Wyoming,0,42,19,240,301,161,161,2022-08-11 21:39
