Jurisdiction,Total Allocated Dosesas of Aug. 17,Total Requested Dosesas of Aug. 17,Total Shipped Dosesas of Aug. 17,Last Updated
All Jurisdictions,1082486,1035213,958413,2022-08-18 12:17
Alabama,5943,1283,1283,2022-08-18 12:17
Alaska,640,640,640,2022-08-18 12:17
American Samoa,20,20,20,2022-08-18 12:17
Arizona,14453,14533,14533,2022-08-18 12:17
Arkansas,3160,1760,1760,2022-08-18 12:17
California,109809,109909,109909,2022-08-18 12:17
California - Los Angeles,72142,72122,72122,2022-08-18 12:17
Colorado,18885,18885,18885,2022-08-18 12:17
Connecticut,6328,6328,6328,2022-08-18 12:17
Delaware,1895,1895,1895,2022-08-18 12:17
District of Columbia,33775,33855,21755,2022-08-18 12:17
Federated States of Micronesia,0,0,0,2022-08-18 12:17
Florida,109760,109760,109760,2022-08-18 12:17
Georgia,48042,38242,27542,2022-08-18 12:17
Guam,160,60,60,2022-08-18 12:17
Hawaii,4472,4472,4472,2022-08-18 12:17
Idaho,1900,1900,1900,2022-08-18 12:17
Illinois,20618,20618,20618,2022-08-18 12:17
Illinois - Chicago,54029,54109,54109,2022-08-18 12:17
Indiana,12052,12052,12052,2022-08-18 12:17
Iowa,2641,2641,2641,2022-08-18 12:17
Kansas,2276,2276,2276,2022-08-18 12:17
Kentucky,6380,6380,3580,2022-08-18 12:17
Louisiana,9362,9362,9362,2022-08-18 12:17
Maine,1451,1451,1451,2022-08-18 12:17
Mariana Islands,40,40,40,2022-08-18 12:17
Marshall Islands,0,0,0,2022-08-18 12:17
Maryland,21979,21979,12679,2022-08-18 12:17
Massachusetts,26551,26551,26551,2022-08-18 12:17
Michigan,13918,12918,12918,2022-08-18 12:17
Minnesota,10638,6038,6038,2022-08-18 12:17
Mississippi,2941,1541,1541,2022-08-18 12:17
Missouri,9413,5213,5213,2022-08-18 12:17
Montana,798,798,798,2022-08-18 12:17
Nebraska,1721,1721,1721,2022-08-18 12:17
Nevada,7322,7322,7322,2022-08-18 12:17
New Hampshire,1487,1187,787,2022-08-18 12:17
New Jersey,20029,20029,20029,2022-08-18 12:17
New Mexico,3596,1996,1996,2022-08-18 12:17
New York,46095,28295,28295,2022-08-18 12:17
New York - New York City,125904,125904,125904,2022-08-18 12:17
North Carolina,18448,18448,18448,2022-08-18 12:17
North Dakota,575,575,575,2022-08-18 12:17
Ohio,17893,17893,17893,2022-08-18 12:17
Oklahoma,5636,15236,4736,2022-08-18 12:17
Oregon,11938,11938,6838,2022-08-18 12:17
Palau,0,0,0,2022-08-18 12:17
Pennsylvania,17911,10311,10311,2022-08-18 12:17
Pennsylvania - Philadelphia,8390,8390,4790,2022-08-18 12:17
Puerto Rico,5107,2807,2807,2022-08-18 12:17
Rhode Island,3274,3274,3274,2022-08-18 12:17
South Carolina,6847,6847,3647,2022-08-18 12:17
South Dakota,511,291,291,2022-08-18 12:17
Tennessee,10762,10762,5762,2022-08-18 12:17
Texas,57394,57394,57394,2022-08-18 12:17
Texas - Houston,22226,22226,22226,2022-08-18 12:17
Tribal Entities,93,0,0,2022-08-18 12:17
U.S. Virgin Islands,260,260,160,2022-08-18 12:17
Utah,6449,6449,3949,2022-08-18 12:17
Vermont,426,426,426,2022-08-18 12:17
Virginia,22859,22859,22859,2022-08-18 12:17
Washington,24530,25310,13810,2022-08-18 12:17
West Virginia,1957,1057,1057,2022-08-18 12:17
Wisconsin,6014,6014,6014,2022-08-18 12:17
Wyoming,361,361,361,2022-08-18 12:17
