Jurisdiction,"Total Allocated Vial​sas of Oct 19 2022, 12pm","Total Requested as of Oct 19 2022, 12pm","Total Shipped as of Oct 19 2022, 12pm",Last Updated
All Jurisdictions,1091570,850873,844793,2022-10-21 12:22
Alabama,6163,4523,4523,2022-10-21 12:22
Alaska,660,600,600,2022-10-21 12:22
American Samoa,40,40,40,2022-10-21 12:22
Arizona,16433,12173,12173,2022-10-21 12:22
Arkansas,3280,2460,2460,2022-10-21 12:22
California,112309,114189,108189,2022-10-21 12:22
California - Los Angeles,73802,65522,65522,2022-10-21 12:22
Colorado,18145,12805,12805,2022-10-21 12:22
Connecticut,6328,6328,6328,2022-10-21 12:22
Delaware,1895,1415,1415,2022-10-21 12:22
District of Columbia,28995,27415,27415,2022-10-21 12:22
Federated States of Micronesia,20,20,20,2022-10-21 12:22
Florida,112680,74720,74720,2022-10-21 12:22
Georgia,54482,33522,33522,2022-10-21 12:22
Guam,120,80,80,2022-10-21 12:22
Hawaii,3852,3232,3232,2022-10-21 12:22
Idaho,2000,1360,1360,2022-10-21 12:22
Illinois,19198,15298,15298,2022-10-21 12:22
Illinois - Chicago,50469,40629,40629,2022-10-21 12:22
Indiana,11872,7812,7812,2022-10-21 12:22
Iowa,2441,1901,1901,2022-10-21 12:22
Kansas,2156,1656,1656,2022-10-21 12:22
Kentucky,6140,3920,3920,2022-10-21 12:22
Louisiana,11882,8862,8862,2022-10-21 12:22
Maine,1411,1211,1211,2022-10-21 12:22
Marshall Islands,20,20,20,2022-10-21 12:22
Maryland,23299,14539,14539,2022-10-21 12:22
Massachusetts,24451,18311,18311,2022-10-21 12:22
Michigan,14318,9518,9518,2022-10-21 12:22
Minnesota,10658,7158,7158,2022-10-21 12:22
Mississippi,3241,1821,1821,2022-10-21 12:22
Missouri,9073,6053,6053,2022-10-21 12:22
Montana,778,478,478,2022-10-21 12:22
Nebraska,1641,1421,1421,2022-10-21 12:22
Nevada,8642,7362,7362,2022-10-21 12:22
New Hampshire,1467,1127,1127,2022-10-21 12:22
New Jersey,22269,16149,16149,2022-10-21 12:22
New Mexico,3436,2996,2996,2022-10-21 12:22
New York,43375,34695,34695,2022-10-21 12:22
New York - New York City,118444,103104,103104,2022-10-21 12:22
North Carolina,20288,16528,16528,2022-10-21 12:22
North Dakota,555,415,415,2022-10-21 12:22
Northern Mariana Islands,60,40,40,2022-10-21 12:22
Ohio,18713,12573,12573,2022-10-21 12:22
Oklahoma,5316,4756,4756,2022-10-21 12:22
Oregon,11498,10018,9978,2022-10-21 12:22
Palau,20,20,20,2022-10-21 12:22
Pennsylvania,16747,13491,13491,2022-10-21 12:22
Pennsylvania - Philadelphia,10638,6630,6630,2022-10-21 12:22
Puerto Rico,5387,3267,3267,2022-10-21 12:22
Rhode Island,4014,2774,2774,2022-10-21 12:22
South Carolina,6387,4287,4287,2022-10-21 12:22
South Dakota,1711,291,291,2022-10-21 12:22
Tennessee,17602,6762,6762,2022-10-21 12:22
Texas,50814,43314,43314,2022-10-21 12:22
Texas - Houston,27026,14146,14146,2022-10-21 12:22
Tribal Entities,93,0,0,2022-10-21 12:22
U.S. Virgin Islands,240,180,180,2022-10-21 12:22
Utah,6169,4449,4449,2022-10-21 12:22
Vermont,2006,846,846,2022-10-21 12:22
Virginia,22259,15399,15359,2022-10-21 12:22
Washington,23930,18450,18450,2022-10-21 12:22
West Virginia,2277,1057,1057,2022-10-21 12:22
Wisconsin,5614,4454,4454,2022-10-21 12:22
Wyoming,321,281,281,2022-10-21 12:22
