Jurisdiction,"Total Allocated Vialsas of Nov 02 2022, 12pm","Total Requested as of Nov 02 2022, 12pm","Total Shipped as of Nov 02 2022, 12pm",Last Updated
All Jurisdictions,1091630,852753,852713,2022-11-03 12:17
Alabama,6163,4523,4523,2022-11-03 12:17
Alaska,660,600,600,2022-11-03 12:17
American Samoa,40,40,40,2022-11-03 12:17
Arizona,16433,12173,12173,2022-11-03 12:17
Arkansas,3280,2460,2460,2022-11-03 12:17
California,112309,114189,114189,2022-11-03 12:17
California - Los Angeles,73802,65522,65522,2022-11-03 12:17
Colorado,18145,12805,12805,2022-11-03 12:17
Connecticut,6328,6328,6328,2022-11-03 12:17
Delaware,1895,1515,1515,2022-11-03 12:17
District of Columbia,28995,27415,27415,2022-11-03 12:17
Federated States of Micronesia,20,20,20,2022-11-03 12:17
Florida,112680,74720,74720,2022-11-03 12:17
Georgia,54482,33522,33522,2022-11-03 12:17
Guam,120,80,80,2022-11-03 12:17
Hawaii,3872,3232,3232,2022-11-03 12:17
Idaho,2000,1360,1360,2022-11-03 12:17
Illinois,19198,15298,15298,2022-11-03 12:17
Illinois - Chicago,50469,40629,40629,2022-11-03 12:17
Indiana,11872,7812,7812,2022-11-03 12:17
Iowa,2441,1921,1921,2022-11-03 12:17
Kansas,2156,2156,2156,2022-11-03 12:17
Kentucky,6140,4040,4020,2022-11-03 12:17
Louisiana,11882,8862,8862,2022-11-03 12:17
Maine,1411,1271,1271,2022-11-03 12:17
Marshall Islands,20,20,20,2022-11-03 12:17
Maryland,23299,14539,14539,2022-11-03 12:17
Massachusetts,24451,18311,18311,2022-11-03 12:17
Michigan,14318,9578,9578,2022-11-03 12:17
Minnesota,10658,7218,7198,2022-11-03 12:17
Mississippi,3241,1821,1821,2022-11-03 12:17
Missouri,9073,6053,6053,2022-11-03 12:17
Montana,778,478,478,2022-11-03 12:17
Nebraska,1641,1421,1421,2022-11-03 12:17
Nevada,8682,7362,7362,2022-11-03 12:17
New Hampshire,1467,1147,1147,2022-11-03 12:17
New Jersey,22269,16149,16149,2022-11-03 12:17
New Mexico,3436,2996,2996,2022-11-03 12:17
New York,43375,34695,34695,2022-11-03 12:17
New York - New York City,118444,103104,103104,2022-11-03 12:17
North Carolina,20288,16648,16648,2022-11-03 12:17
North Dakota,555,415,415,2022-11-03 12:17
Northern Mariana Islands,60,40,40,2022-11-03 12:17
Ohio,18713,12573,12573,2022-11-03 12:17
Oklahoma,5316,4756,4756,2022-11-03 12:17
Oregon,11498,10298,10298,2022-11-03 12:17
Palau,20,20,20,2022-11-03 12:17
Pennsylvania,16747,13631,13631,2022-11-03 12:17
Pennsylvania - Philadelphia,10638,6630,6630,2022-11-03 12:17
Puerto Rico,5387,3267,3267,2022-11-03 12:17
Rhode Island,4014,2774,2774,2022-11-03 12:17
South Carolina,6387,4287,4287,2022-11-03 12:17
South Dakota,1711,291,291,2022-11-03 12:17
Tennessee,17602,6762,6762,2022-11-03 12:17
Texas,50814,43314,43314,2022-11-03 12:17
Texas - Houston,27026,14146,14146,2022-11-03 12:17
Tribal Entities,93,0,0,2022-11-03 12:17
U.S. Virgin Islands,240,180,180,2022-11-03 12:17
Utah,6169,4709,4709,2022-11-03 12:17
Vermont,2006,846,846,2022-11-03 12:17
Virginia,22259,15459,15459,2022-11-03 12:17
Washington,23930,18450,18450,2022-11-03 12:17
West Virginia,2277,1057,1057,2022-11-03 12:17
Wisconsin,5614,4534,4534,2022-11-03 12:17
Wyoming,321,281,281,2022-11-03 12:17
