Jurisdiction,Threshold (rounded up to next 20),Last Updated
Total,388020,2022-12-18 11:10
Alabama,3860,2022-12-18 11:10
Alaska,420,2022-12-18 11:10
Arizona,7480,2022-12-18 11:10
Arkansas,1800,2022-12-18 11:10
California--Los Angeles,21180,2022-12-18 11:10
California--Other,31860,2022-12-18 11:10
Colorado,6720,2022-12-18 11:10
Connecticut,2600,2022-12-18 11:10
Delaware,1140,2022-12-18 11:10
District of Columbia,4040,2022-12-18 11:10
Florida,37960,2022-12-18 11:10
Georgia,22780,2022-12-18 11:10
Hawaii,1200,2022-12-18 11:10
Idaho,1040,2022-12-18 11:10
Illinois--Chicago,10900,2022-12-18 11:10
Illinois--Other,4320,2022-12-18 11:10
Indiana,5580,2022-12-18 11:10
Iowa,1260,2022-12-18 11:10
Kansas,1420,2022-12-18 11:10
Kentucky,3500,2022-12-18 11:10
Louisiana,5260,2022-12-18 11:10
Maine,940,2022-12-18 11:10
Maryland,8760,2022-12-18 11:10
Massachusetts,6700,2022-12-18 11:10
Michigan,7780,2022-12-18 11:10
Minnesota,5080,2022-12-18 11:10
Mississippi,2040,2022-12-18 11:10
Missouri,5300,2022-12-18 11:10
Montana,520,2022-12-18 11:10
Nebraska,720,2022-12-18 11:10
Nevada,3880,2022-12-18 11:10
New Hampshire,720,2022-12-18 11:10
New Jersey,7880,2022-12-18 11:10
New Mexico,1880,2022-12-18 11:10
New York--New York City,20000,2022-12-18 11:10
New York--Other,16320,2022-12-18 11:10
North Carolina,10060,2022-12-18 11:10
North Dakota,340,2022-12-18 11:10
Ohio,10640,2022-12-18 11:10
Oklahoma,2980,2022-12-18 11:10
Oregon,4740,2022-12-18 11:10
Pennsylvania--Philadelphia,4920,2022-12-18 11:10
Pennsylvania--Other,6820,2022-12-18 11:10
Puerto Rico,2960,2022-12-18 11:10
Rhode Island,1240,2022-12-18 11:10
South Carolina,4080,2022-12-18 11:10
South Dakota,1420,2022-12-18 11:10
Tennessee,10840,2022-12-18 11:10
Texas--Houston,10960,2022-12-18 11:10
Texas--Other,25380,2022-12-18 11:10
Utah,1760,2022-12-18 11:10
Vermont,860,2022-12-18 11:10
Virginia,8740,2022-12-18 11:10
Washington,9400,2022-12-18 11:10
West Virginia,1220,2022-12-18 11:10
Wisconsin,3300,2022-12-18 11:10
Wyoming,220,2022-12-18 11:10
US Virgin Islands,80,2022-12-18 11:10
Guam,40,2022-12-18 11:10
Northern Mariana Islands,20,2022-12-18 11:10
American Samoa,20,2022-12-18 11:10
Tribal Entities,120,2022-12-18 11:10
